 ,Area(zone c),Mean(zone c),Min(zone c),Max(zone c)
807,115080,44578.273,5534,65535
808,115080,44520.277,5534,65535
809,115080,44771.637,851,65535
810,115080,44481.027,4257,65535
811,115080,44709.926,5960,65535
812,115080,44564.723,0,65535
813,115080,44767.234,1277,65535
814,115080,44734.379,3831,65535
815,115080,36714.516,5108,65535
816,115080,30518.617,4257,53642
817,115080,30424.189,3831,52790
818,115080,30693.150,5108,63859
819,115080,30492.197,4683,57047
820,115080,30609.658,2980,57899
821,115080,30623.635,7663,56622
822,115080,30397.309,5534,62156
823,115080,30731.223,0,57473
824,115080,30457.584,7237,55770
825,115080,30670.059,5108,53216
826,115080,31215.482,5534,59602
827,115080,45154.105,5534,65535
828,115080,44692.004,0,65535
829,115080,44617.223,0,65535
830,115080,44781.961,5108,65535
831,115080,44611.949,4683,65535
832,115080,44796.227,5534,65535
833,115080,44580.980,5108,65535
834,115080,44489.855,3831,65535
835,115080,44829.660,5534,65535
836,115080,44453.922,4683,65535
837,115080,44748.555,0,65535
838,115080,36535.324,0,61731
839,115080,30502.764,1277,59602
840,115080,30512.965,3831,54493
841,115080,30340.977,0,51939
842,115080,30583.533,6385,63859
843,115080,30300.887,5108,57473
844,115080,30527.279,4257,57473
845,115080,30358.883,7237,60028
846,115080,30558.521,6385,53642
847,115080,30379.490,0,54067
848,115080,30272.123,0,61731
849,115080,31541.875,5960,57899
850,115080,44879.883,5534,65535
851,115080,44720.957,5534,65535
852,115080,44524.738,0,65535
853,115080,44764.477,6811,65535
854,115080,44861.859,4257,65535
855,115080,44660.254,4683,65535
856,115080,44942.043,5960,65535
857,115080,44671.188,4683,65535
858,115080,44896.574,5960,65535
859,115080,44683.129,5960,65535
860,115080,44879.453,5534,65535
861,115080,36596.332,6811,65535
862,115080,30357.975,5534,54067
863,115080,30830.160,5108,62582
864,115080,30490.098,0,54067
865,115080,30693.211,6385,59602
866,115080,30555.953,3405,63008
867,115080,30613.701,0,61731
868,115080,30626.918,7237,55770
