 ,Area(zone c),Mean(zone c),Min(zone c),Max(zone c)
691,115080,44814.570,5960,65535
692,115080,44664.492,5108,65535
693,115080,44813.594,3831,65535
694,115080,44790.871,5960,65535
695,115080,44530.730,0,65535
696,115080,44821.230,0,65535
697,115080,44564.234,4683,65535
698,115080,44777.582,5108,65535
699,115080,44618.141,3405,65535
700,115080,38038.625,0,64711
701,115080,30535.443,6385,60879
702,115080,30494.059,5534,56622
703,115080,30749.773,0,53216
704,115080,30552.723,4683,61305
705,115080,30660.471,7237,57899
706,115080,30608.463,0,62582
707,115080,30747.459,7663,54493
708,115080,30730.906,0,62582
709,115080,30478.689,2128,54493
710,115080,30773.988,5108,64285
711,115080,30575.861,0,53216
712,115080,44904.164,5108,65535
713,115080,44654.613,6385,65535
714,115080,44553.137,5534,65535
715,115080,44935.145,0,65535
716,115080,44617.461,5534,65535
717,115080,44807.551,5108,65535
718,115080,44693.238,5108,65535
719,115080,44804.062,4683,65535
720,115080,44685.691,5108,65535
721,115080,44587.891,5534,65535
722,115080,44931.574,5108,65535
723,115080,37564.652,5534,59602
724,115080,30531.268,4257,63859
725,115080,30534.246,5534,65535
726,115080,30652.547,0,63008
727,115080,30472.746,6811,56622
728,115080,30377.463,6385,60879
729,115080,30609.535,6385,57047
730,115080,30302.385,1702,60453
731,115080,30573.742,6811,51939
732,115080,30430.643,6385,59602
733,115080,30565.779,1702,63008
734,115080,30567.555,7663,51087
735,115080,44855.348,4257,65535
736,115080,44852.051,4257,65535
737,115080,44555.625,0,65535
738,115080,44858.496,3405,65535
739,115080,44644.324,0,65535
740,115080,44848.105,5960,65535
741,115080,44830.367,5960,65535
742,115080,44704.176,3831,65535
743,115080,44905.262,5108,65535
744,115080,44775.441,0,65535
745,115080,44888.648,5108,65535
746,115080,37558.621,2128,65535
747,115080,30667.410,1702,65535
748,115080,30771.248,0,61731
749,115080,30404.637,851,55770
750,115080,30695.459,0,65535
751,115080,30523.018,5534,58325
752,115080,30629.404,6385,60879
753,115080,30440.738,7237,65535
754,115080,30321.348,4683,58750
755,115080,30610.205,7237,60879
756,115080,30299.486,0,57473
757,115080,30643.895,5534,65535
758,115080,44813.273,4683,65535
759,115080,44618.348,5108,65535
760,115080,44540.008,5534,65535
761,115080,44460.250,5108,65535
762,115080,44745.594,6385,65535
763,115080,44565.895,4257,65535
764,115080,44866.500,5960,65535
765,115080,44696.496,3831,65535
766,115080,44894.164,4683,65535
767,115080,44720.004,2980,65535
768,115080,44701.125,4683,65535
769,115080,37516.246,4683,65535
770,115080,30316.211,5108,58325
771,115080,30791.629,4257,62582
772,115080,30595.975,2554,53642
773,115080,30717.359,2554,64285
774,115080,30751.232,2128,51939
775,115080,30333.121,6385,65535
776,115080,30689.891,5534,61305
777,115080,30326.832,6385,57899
778,115080,30597.465,5108,51087
779,115080,30459.510,5960,60453
780,115080,30891.100,5108,60453
781,115080,45022.520,0,65535
782,115080,44380.238,4683,65535
783,115080,44628.934,5960,65535
784,115080,44426.660,5960,65535
785,115080,44619.980,3405,65535
786,115080,44451.828,2980,65535
787,115080,44627.859,4257,65535
788,115080,44675.008,5108,65535
789,115080,44423.883,5960,65535
790,115080,44717.008,5534,65535
791,115080,44616.074,3831,65535
792,115080,37160.445,7237,65535
793,115080,30361.455,5108,55770
794,115080,30496.885,0,61731
795,115080,30771.795,5960,59176
796,115080,30526.451,2980,53642
797,115080,30710.660,851,59176
798,115080,30529.256,5960,65535
799,115080,30710.230,6385,56196
800,115080,30501.684,6385,53216
801,115080,30402.783,6385,60453
802,115080,30592.098,6385,56622
803,115080,30890.471,425,54493
804,115080,45139.551,5108,65535
805,115080,44591.590,5534,65535
806,115080,44781.199,5960,65535
