time,amplitude
7.910965694054451769e-03,7.200000000000001954e-01
7.914966182395313105e-03,7.200000000000001954e-01
7.918966670736174440e-03,7.200000000000001954e-01
7.922967159077039245e-03,7.200000000000001954e-01
7.926967647417900581e-03,7.200000000000001954e-01
7.930968135758761917e-03,7.200000000000001954e-01
7.934968624099623252e-03,7.200000000000001954e-01
7.938969112440484588e-03,7.200000000000001954e-01
7.942969600781345924e-03,7.200000000000001954e-01
7.946970089122210729e-03,7.200000000000001954e-01
7.950970577463072064e-03,7.200000000000001954e-01
7.954971065803933400e-03,7.200000000000001954e-01
7.958971554144794736e-03,7.200000000000001954e-01
7.962972042485656071e-03,7.200000000000001954e-01
7.966972530826517407e-03,7.200000000000001954e-01
7.970973019167382212e-03,7.200000000000001954e-01
7.974973507508243548e-03,7.200000000000001954e-01
7.978973995849104883e-03,7.200000000000001954e-01
7.982974484189966219e-03,7.200000000000001954e-01
7.986974972530827555e-03,7.200000000000001954e-01
7.990975460871688890e-03,7.200000000000001954e-01
7.994975949212553695e-03,7.200000000000001954e-01
7.998976437553415031e-03,7.999999999999998224e-01
8.002976925894276367e-03,7.200000000000001954e-01
8.006977414235137702e-03,7.200000000000001954e-01
8.010977902575999038e-03,7.200000000000001954e-01
8.014978390916860373e-03,7.200000000000001954e-01
8.018978879257725179e-03,1.120000000000000107e+00
8.022979367598586514e-03,2.159999999999999698e+00
8.026979855939447850e-03,2.399999999999999911e+00
8.030980344280309186e-03,2.640000000000000124e+00
8.034980832621170521e-03,2.640000000000000124e+00
8.038981320962031857e-03,2.720000000000000195e+00
8.042981809302896662e-03,2.720000000000000195e+00
8.046982297643757998e-03,2.800000000000000266e+00
8.050982785984619333e-03,2.800000000000000266e+00
8.054983274325480669e-03,2.800000000000000266e+00
8.058983762666342004e-03,2.880000000000000338e+00
8.062984251007203340e-03,2.880000000000000338e+00
8.066984739348068145e-03,2.800000000000000266e+00
8.070985227688929481e-03,2.880000000000000338e+00
8.074985716029790817e-03,2.880000000000000338e+00
8.078986204370652152e-03,2.880000000000000338e+00
8.082986692711513488e-03,2.880000000000000338e+00
8.086987181052374823e-03,2.880000000000000338e+00
8.090987669393239629e-03,2.880000000000000338e+00
8.094988157734100964e-03,2.880000000000000338e+00
8.098988646074962300e-03,2.880000000000000338e+00
8.102989134415823635e-03,2.880000000000000338e+00
8.106989622756684971e-03,2.880000000000000338e+00
8.110990111097546307e-03,2.880000000000000338e+00
8.114990599438411112e-03,2.880000000000000338e+00
8.118991087779272448e-03,2.880000000000000338e+00
8.122991576120133783e-03,2.880000000000000338e+00
8.126992064460995119e-03,2.880000000000000338e+00
8.130992552801856454e-03,2.880000000000000338e+00
8.134993041142717790e-03,2.880000000000000338e+00
8.138993529483582595e-03,2.880000000000000338e+00
8.142994017824443931e-03,2.880000000000000338e+00
8.146994506165305266e-03,2.880000000000000338e+00
8.150994994506166602e-03,2.880000000000000338e+00
8.154995482847027938e-03,2.880000000000000338e+00
8.158995971187889273e-03,2.880000000000000338e+00
8.162996459528754079e-03,2.880000000000000338e+00
8.166996947869615414e-03,2.880000000000000338e+00
8.170997436210476750e-03,2.880000000000000338e+00
8.174997924551338085e-03,2.880000000000000338e+00
8.178998412892199421e-03,2.880000000000000338e+00
8.182998901233060757e-03,2.880000000000000338e+00
8.186999389573925562e-03,2.880000000000000338e+00
8.190999877914786897e-03,2.880000000000000338e+00
8.195000366255648233e-03,2.880000000000000338e+00
8.199000854596509569e-03,2.880000000000000338e+00
8.203001342937370904e-03,2.880000000000000338e+00
8.207001831278235709e-03,2.880000000000000338e+00
8.211002319619097045e-03,2.880000000000000338e+00
8.215002807959958381e-03,2.800000000000000266e+00
8.219003296300819716e-03,2.880000000000000338e+00
8.223003784641681052e-03,2.880000000000000338e+00
8.227004272982542388e-03,2.880000000000000338e+00
8.231004761323407193e-03,2.880000000000000338e+00
8.235005249664268528e-03,2.880000000000000338e+00
8.239005738005129864e-03,2.880000000000000338e+00
8.243006226345991200e-03,2.880000000000000338e+00
8.247006714686852535e-03,2.880000000000000338e+00
8.251007203027713871e-03,2.880000000000000338e+00
8.255007691368578676e-03,2.880000000000000338e+00
8.259008179709440012e-03,2.880000000000000338e+00
8.263008668050301347e-03,2.880000000000000338e+00
8.267009156391162683e-03,2.880000000000000338e+00
8.271009644732024019e-03,2.880000000000000338e+00
