time_s,ch1_v,ch2_v
-0.0341,-0.4866709,-0.66684674
-0.03405,-0.48415834,-0.66810302
-0.034,-0.48415834,-0.67312814
-0.03395,-0.48415834,-0.67940955
-0.0339,-0.49295231,-0.64674623
-0.03385,-0.50049,-0.61785176
-0.0338,-0.50928397,-0.59146985
-0.03375,-0.51556537,-0.57136935
-0.0337,-0.52435934,-0.55126885
-0.03365,-0.52812819,-0.52991206
-0.0336,-0.53440959,-0.51609297
-0.03355,-0.54320356,-0.50227387
-0.0335,-0.54822869,-0.49222362
-0.03345,-0.55325381,-0.47966081
-0.0334,-0.55827894,-0.47086684
-0.03335,-0.56581663,-0.46207287
-0.0333,-0.56958547,-0.4532789
-0.03325,-0.57837944,-0.44071609
-0.0332,-0.58466085,-0.43569096
-0.03315,-0.59094226,-0.42940955
-0.0331,-0.59722366,-0.42438443
-0.03305,-0.60224879,-0.41433418
-0.033,-0.6085302,-0.41182161
-0.03295,-0.6148116,-0.40554021
-0.0329,-0.61983673,-0.39548995
-0.03285,-0.62737442,-0.39297739
-0.0328,-0.62988698,-0.39297739
-0.03275,-0.63868095,-0.38669599
-0.0327,-0.63993723,-0.38418342
-0.03265,-0.64747492,-0.37790202
-0.0326,-0.64998748,-0.37538945
-0.03255,-0.65501261,-0.37036433
-0.0325,-0.66129401,-0.36785176
-0.03245,-0.6688317,-0.36157036
-0.0324,-0.67260055,-0.35905779
-0.03235,-0.67636939,-0.35654523
-0.0323,-0.68013823,-0.35528895
-0.03225,-0.6889322,-0.35152011
-0.0322,-0.69270105,-0.35152011
-0.03215,-0.69898246,-0.34146986
-0.0321,-0.70149502,-0.34398242
-0.03205,-0.70652014,-0.34272614
-0.032,-0.71154527,-0.33895729
-0.03195,-0.7165704,-0.33644473
-0.0319,-0.72033924,-0.33267589
-0.03185,-0.72662065,-0.33267589
-0.0318,-0.73164577,-0.33267589
-0.03175,-0.73415833,-0.32890704
-0.0317,-0.74043974,-0.32765076
-0.03165,-0.74546487,-0.32765076
-0.0316,-0.75174627,-0.32136935
-0.03155,-0.75551512,-0.32011307
-0.0315,-0.75802768,-0.31885679
-0.03145,-0.76430909,-0.31634423
-0.0314,-0.76807793,-0.31257538
-0.03135,-0.77310306,-0.31383166
-0.0313,-0.78064075,-0.31257538
-0.03125,-0.78315331,-0.30755026
-0.0312,-0.78817843,-0.30880654
-0.03115,-0.79194728,-0.30755026
-0.0311,-0.7969724,-0.30378141
-0.03105,-0.80325381,-0.30503769
-0.031,-0.80827894,-0.30503769
-0.03095,-0.8107915,-0.30503769
-0.0309,-0.81707291,-0.30001257
-0.03085,-0.82084175,-0.30126885
-0.0308,-0.8246106,-0.30126885
-0.03075,-0.830892,-0.29875629
-0.0307,-0.83214828,-0.29875629
-0.03065,-0.83466085,-0.29750001
-0.0306,-0.84345482,-0.29247488
-0.03055,-0.84596738,-0.29624372
-0.0305,-0.8509925,-0.29373116
-0.03045,-0.85476135,-0.29247488
-0.0304,-0.85978647,-0.2912186
-0.03035,-0.86355532,-0.2912186
-0.0303,-0.86858044,-0.28996232
-0.03025,-0.87360557,-0.29247488
-0.0302,-0.87611813,-0.28870604
-0.03015,-0.88239954,-0.28996232
-0.0301,-0.88993723,-0.28996232
-0.03005,-0.88742466,-0.28493719
-0.03,-0.89370607,-0.28619347
-0.02995,-0.89747492,-0.28744976
-0.0299,-0.87109301,-0.29247488
-0.02985,-0.84345482,-0.30126885
-0.0298,-0.81958547,-0.30503769
-0.02975,-0.79822869,-0.31257538
-0.0297,-0.78315331,-0.31760051
-0.02965,-0.76682165,-0.32765076
-0.0296,-0.75048999,-0.33518845
-0.02955,-0.73792718,-0.33644473
-0.0295,-0.72662065,-0.34398242
-0.02945,-0.71405783,-0.35528895
-0.0294,-0.70149502,-0.36031408
-0.02935,-0.69144477,-0.36282664
-0.0293,-0.68390708,-0.37036433
-0.02925,-0.67511311,-0.37413317
-0.0292,-0.66506286,-0.38041458
-0.02915,-0.65878145,-0.38669599
-0.0291,-0.64998748,-0.39297739
-0.02905,-0.64244979,-0.39800252
-0.029,-0.63616839,-0.40177136
-0.02895,-0.63114326,-0.40679649
-0.0289,-0.62486185,-0.41056533
-0.02885,-0.61732417,-0.41810302
-0.0288,-0.61229904,-0.4193593
-0.02875,-0.61104276,-0.42312815
-0.0287,-0.60224879,-0.42940955
-0.02865,-0.59847994,-0.43820352
-0.0286,-0.59094226,-0.44322865
-0.02855,-0.58968597,-0.44699749
-0.0285,-0.58340457,-0.4532789
-0.02845,-0.57963572,-0.45579146
-0.0284,-0.57712316,-0.45956031
-0.02835,-0.57209803,-0.46709799
-0.0283,-0.56707291,-0.47086684
-0.02825,-0.56832919,-0.47714825
-0.0282,-0.56330407,-0.48217337
-0.02815,-0.5607915,-0.48468593
-0.0281,-0.55702266,-0.48845478
-0.02805,-0.55199753,-0.49473619
-0.028,-0.55325381,-0.49850503
-0.02795,-0.55074125,-0.50604272
-0.0279,-0.54822869,-0.507299
-0.02785,-0.54194728,-0.51232412
-0.0278,-0.540691,-0.51734925
-0.02775,-0.540691,-0.52237438
-0.0277,-0.53817844,-0.52991206
-0.02765,-0.53566587,-0.52991206
-0.0276,-0.53315331,-0.53368091
-0.02755,-0.52938447,-0.53996232
-0.0275,-0.52812819,-0.54373116
-0.02745,-0.5268719,-0.54875628
-0.0274,-0.52310306,-0.55503769
-0.02735,-0.5205905,-0.55880654
-0.0273,-0.51682165,-0.56634422
-0.02725,-0.51807793,-0.56760051
-0.0272,-0.51682165,-0.57136935
-0.02715,-0.51682165,-0.57890704
-0.0271,-0.50802768,-0.58016332
-0.02705,-0.51179653,-0.58267588
-0.027,-0.50928397,-0.59021357
-0.02695,-0.5067714,-0.59649498
-0.0269,-0.50551512,-0.5952387
-0.02685,-0.5067714,-0.60277638
-0.0268,-0.50425884,-0.60654523
-0.02675,-0.50049,-0.61031407
-0.0267,-0.49923371,-0.61785176
-0.02665,-0.50049,-0.62036432
-0.0266,-0.50049,-0.62287689
-0.02655,-0.49546487,-0.63041458
-0.0265,-0.49546487,-0.63418342
-0.02645,-0.49546487,-0.6354397
-0.0264,-0.49420859,-0.64297739
-0.02635,-0.49169603,-0.64548995
-0.0263,-0.49169603,-0.65051508
-0.02625,-0.48918346,-0.65679648
-0.0262,-0.49043974,-0.66182161
-0.02615,-0.4866709,-0.66056533
-0.0261,-0.48792718,-0.6693593
-0.02605,-0.48415834,-0.67187186
-0.026,-0.48415834,-0.67689699
-0.02595,-0.48164577,-0.67940955
-0.0259,-0.49420859,-0.6492588
-0.02585,-0.50049,-0.61910804
-0.0258,-0.5067714,-0.59398242
-0.02575,-0.51682165,-0.57388191
-0.0257,-0.52184678,-0.55378141
-0.02565,-0.53189703,-0.53116835
-0.0256,-0.53817844,-0.51860553
-0.02555,-0.54320356,-0.507299
-0.0255,-0.54822869,-0.49222362
-0.02545,-0.55702266,-0.48091709
-0.0254,-0.55953522,-0.47086684
-0.02535,-0.57209803,-0.46207287
-0.0253,-0.57837944,-0.4532789
-0.02525,-0.57963572,-0.44448493
-0.0252,-0.58591713,-0.43694724
-0.02515,-0.59219854,-0.42815327
-0.0251,-0.59973623,-0.42187186
-0.02505,-0.60601763,-0.41559046
-0.025,-0.61229904,-0.40930905
-0.02495,-0.61355532,-0.40554021
-0.0249,-0.61983673,-0.39674624
-0.02485,-0.62611813,-0.39800252
-0.0248,-0.63114326,-0.38920855
-0.02475,-0.63742467,-0.38292714
-0.0247,-0.64244979,-0.3791583
-0.02465,-0.65124376,-0.37287689
-0.0246,-0.65501261,-0.37664573
-0.02455,-0.65752517,-0.37036433
-0.0245,-0.6625503,-0.36659548
-0.02445,-0.66631914,-0.3653392
-0.0244,-0.67385683,-0.35528895
-0.02435,-0.67636939,-0.35528895
-0.0243,-0.68139452,-0.35528895
-0.02425,-0.68767592,-0.35026382
-0.0242,-0.69395733,-0.34775126
-0.02415,-0.70149502,-0.34398242
-0.0241,-0.70400758,-0.34272614
-0.02405,-0.70652014,-0.34146986
-0.024,-0.7165704,-0.33895729
-0.02395,-0.72033924,-0.33644473
-0.0239,-0.72662065,-0.3314196
-0.02385,-0.73415833,-0.3314196
-0.0238,-0.73290205,-0.3314196
-0.02375,-0.73918346,-0.32639448
-0.0237,-0.74672115,-0.32388192
-0.02365,-0.74923371,-0.32136935
-0.0236,-0.75425884,-0.32011307
-0.02355,-0.75802768,-0.31885679
-0.0235,-0.76305281,-0.32011307
-0.02345,-0.7705905,-0.31508795
-0.0234,-0.77184678,-0.31760051
-0.02335,-0.77938446,-0.31508795
-0.0233,-0.78064075,-0.31383166
-0.02325,-0.78817843,-0.3113191
-0.0232,-0.790691,-0.31006282
-0.02315,-0.79445984,-0.30755026
-0.0231,-0.80074125,-0.30629398
-0.02305,-0.80199753,-0.30503769
-0.023,-0.8107915,-0.30378141
-0.02295,-0.80953522,-0.30126885
-0.0229,-0.81581663,-0.30126885
-0.02285,-0.81958547,-0.29875629
-0.0228,-0.82209803,-0.29875629
-0.02275,-0.82837944,-0.29875629
-0.0227,-0.83214828,-0.29750001
-0.02265,-0.84094225,-0.29750001
-0.0226,-0.84596738,-0.29875629
-0.02255,-0.84847994,-0.29624372
-0.0225,-0.85224879,-0.2912186
-0.02245,-0.85727391,-0.28996232
-0.0224,-0.85978647,-0.29247488
-0.02235,-0.86606788,-0.2912186
-0.0223,-0.86858044,-0.2912186
-0.02225,-0.87234929,-0.28870604
-0.0222,-0.87737441,-0.28619347
-0.02215,-0.88365582,-0.28619347
-0.0221,-0.88742466,-0.28619347
-0.02205,-0.88742466,-0.28116835
-0.022,-0.89496235,-0.28493719
-0.02195,-0.89621863,-0.28493719
-0.0219,-0.86983673,-0.2912186
-0.02185,-0.84219853,-0.30126885
-0.0218,-0.81581663,-0.30503769
-0.02175,-0.80074125,-0.31257538
-0.0217,-0.78189703,-0.32011307
-0.02165,-0.76556537,-0.32890704
-0.0216,-0.75174627,-0.33267589
-0.02155,-0.7366709,-0.34272614
-0.0215,-0.72662065,-0.34649498
-0.02145,-0.71280155,-0.35026382
-0.0214,-0.70149502,-0.35654523
-0.02135,-0.69018849,-0.36282664
-0.0213,-0.68139452,-0.36910805
-0.02125,-0.67511311,-0.37664573
-0.0212,-0.66129401,-0.38167086
-0.02115,-0.65626889,-0.38669599
-0.0211,-0.65124376,-0.39046483
-0.02105,-0.64119351,-0.39674624
-0.021,-0.6349121,-0.40302764
-0.02095,-0.62611813,-0.40302764
-0.0209,-0.62109301,-0.41056533
-0.02085,-0.6148116,-0.42061558
-0.0208,-0.60727391,-0.42312815
-0.02075,-0.6085302,-0.42438443
-0.0207,-0.60350507,-0.4331784
-0.02065,-0.59973623,-0.43443468
-0.0206,-0.59219854,-0.44197237
-0.02055,-0.58842969,-0.44699749
-0.0205,-0.580892,-0.45202262
-0.02045,-0.58214829,-0.45704774
-0.0204,-0.57712316,-0.46458543
-0.02035,-0.57209803,-0.46584171
-0.0203,-0.57084175,-0.46961056
-0.02025,-0.56456035,-0.47463568
-0.0202,-0.5607915,-0.47840453
-0.02015,-0.5607915,-0.48845478
-0.0201,-0.55702266,-0.48971106
-0.02005,-0.55325381,-0.49473619
-0.02,-0.55074125,-0.49850503
-0.01995,-0.54571613,-0.50478644
-0.0199,-0.54445984,-0.50855528
-0.01985,-0.54194728,-0.51232412
-0.0198,-0.540691,-0.51734925
-0.01975,-0.53440959,-0.52614322
-0.0197,-0.53566587,-0.52865578
-0.01965,-0.53315331,-0.53116835
-0.0196,-0.53189703,-0.53870603
-0.01955,-0.52812819,-0.54247488
-0.0195,-0.52435934,-0.54498744
-0.01945,-0.5268719,-0.55001257
-0.0194,-0.52184678,-0.55629397
-0.01935,-0.5205905,-0.55880654
-0.0193,-0.51933422,-0.56760051
