pc_time_s,idx,teensy_t_us,raw1,raw2,raw3,raw4,raw5,idx_jump,missing_frames,time_s,voltage1,voltage2,voltage3,voltage4,voltage5
3.963389,3965,3964998,2778,3502,3476,3502,3268,1,0,3.964998,2.238681318681319,2.8221245421245422,2.801172161172161,2.8221245421245422,2.6335531135531136
3.9644399999999997,3966,3965998,2912,3473,3459,3478,3198,1,0,3.965998,2.3466666666666667,2.7987545787545787,2.7874725274725276,2.8027838827838827,2.577142857142857
3.965404,3967,3966998,3101,3421,3437,3444,3048,1,0,3.966998,2.498974358974359,2.756849816849817,2.7697435897435896,2.7753846153846156,2.456263736263736
3.9664,3968,3967998,3190,3385,3425,3422,2922,1,0,3.967998,2.570695970695971,2.727838827838828,2.76007326007326,2.7576556776556775,2.3547252747252747
3.9673789999999998,3969,3968998,3242,3358,3417,3408,2809,1,0,3.968998,2.6126007326007326,2.706080586080586,2.7536263736263735,2.7463736263736265,2.263663003663004
3.968371,3970,3969998,3176,3400,3436,3438,2946,1,0,3.969998,2.5594139194139194,2.73992673992674,2.768937728937729,2.7705494505494506,2.3740659340659342
3.969401,3971,3970998,3019,3458,3458,3473,3129,1,0,3.970998,2.432893772893773,2.7866666666666666,2.7866666666666666,2.7987545787545787,2.5215384615384617
3.973722,3972,3971998,2896,3484,3469,3492,3216,1,0,3.971998,2.3337728937728937,2.8076190476190477,2.7955311355311356,2.814065934065934,2.5916483516483515
3.973974,3973,3972998,2777,3502,3476,3500,3268,1,0,3.972998,2.237875457875458,2.8221245421245422,2.801172161172161,2.8205128205128207,2.6335531135531136
3.9741969999999998,3974,3973998,2910,3474,3450,3479,3198,1,0,3.973998,2.345054945054945,2.7995604395604397,2.78021978021978,2.8035897435897437,2.577142857142857
3.974425,3975,3974998,3104,3421,3438,3444,3048,1,0,3.974998,2.501391941391941,2.756849816849817,2.7705494505494506,2.7753846153846156,2.456263736263736
3.974657,3976,3975998,3189,3385,3426,3422,2923,1,0,3.975998,2.56989010989011,2.727838827838828,2.760879120879121,2.7576556776556775,2.3555311355311357
3.975378,3977,3976998,3242,3358,3417,3408,2809,1,0,3.976998,2.6126007326007326,2.706080586080586,2.7536263736263735,2.7463736263736265,2.263663003663004
3.9764,3978,3977998,3186,3400,3436,3438,2945,1,0,3.977998,2.5674725274725274,2.73992673992674,2.768937728937729,2.7705494505494506,2.3732600732600733
3.977402,3979,3978998,3019,3458,3459,3473,3129,1,0,3.978998,2.432893772893773,2.7866666666666666,2.7874725274725276,2.7987545787545787,2.5215384615384617
3.978411,3980,3979998,2893,3485,3469,3491,3216,1,0,3.979998,2.331355311355311,2.808424908424908,2.7955311355311356,2.813260073260073,2.5916483516483515
3.979404,3981,3980998,2773,3502,3476,3501,3268,1,0,3.980998,2.234652014652015,2.8221245421245422,2.801172161172161,2.8213186813186812,2.6335531135531136
3.980373,3982,3981998,2909,3473,3459,3478,3196,1,0,3.981998,2.344249084249084,2.7987545787545787,2.7874725274725276,2.8027838827838827,2.5755311355311354
3.981586,3983,3982998,3100,3419,3436,3444,3048,1,0,3.982998,2.498168498168498,2.755238095238095,2.768937728937729,2.7753846153846156,2.456263736263736
3.982424,3984,3983998,3190,3385,3425,3422,2924,1,0,3.983998,2.570695970695971,2.727838827838828,2.76007326007326,2.7576556776556775,2.3563369963369962
3.983379,3985,3984998,3242,3358,3417,3408,2809,1,0,3.984998,2.6126007326007326,2.706080586080586,2.7536263736263735,2.7463736263736265,2.263663003663004
3.984375,3986,3985998,3176,3400,3437,3438,2946,1,0,3.985998,2.5594139194139194,2.73992673992674,2.7697435897435896,2.7705494505494506,2.3740659340659342
3.985909,3987,3986998,3021,3457,3459,3474,3129,1,0,3.986998,2.4345054945054945,2.7858608058608056,2.7874725274725276,2.7995604395604397,2.5215384615384617
3.986438,3988,3987998,2892,3485,3470,3502,3214,1,0,3.987998,2.3305494505494506,2.808424908424908,2.796336996336996,2.8221245421245422,2.59003663003663
3.9874009999999998,3989,3988998,2779,3502,3476,3511,3270,1,0,3.988998,2.2394871794871793,2.8221245421245422,2.801172161172161,2.8293772893772893,2.635164835164835
3.988382,3990,3989998,2910,3473,3459,3478,3197,1,0,3.989998,2.345054945054945,2.7987545787545787,2.7874725274725276,2.8027838827838827,2.5763369963369964
3.989611,3991,3990998,3100,3421,3438,3444,3047,1,0,3.990998,2.498168498168498,2.756849816849817,2.7705494505494506,2.7753846153846156,2.4554578754578755
3.990425,3992,3991998,3189,3386,3426,3421,2922,1,0,3.991998,2.56989010989011,2.7286446886446885,2.760879120879121,2.756849816849817,2.3547252747252747
3.9913819999999998,3993,3992998,3243,3360,3416,3408,2809,1,0,3.992998,2.6134065934065935,2.707692307692308,2.752820512820513,2.7463736263736265,2.263663003663004
3.992378,3994,3993998,3175,3400,3436,3437,2947,1,0,3.993998,2.5586080586080584,2.73992673992674,2.768937728937729,2.7697435897435896,2.374871794871795
3.993369,3995,3994998,3024,3457,3458,3473,3129,1,0,3.994998,2.436923076923077,2.7858608058608056,2.7866666666666666,2.7987545787545787,2.5215384615384617
3.994373,3996,3995998,2891,3485,3468,3491,3217,1,0,3.995998,2.3297435897435896,2.808424908424908,2.7947252747252747,2.813260073260073,2.5924542124542125
3.995409,3997,3996998,2779,3504,3475,3500,3268,1,0,3.996998,2.2394871794871793,2.8237362637362637,2.8003663003663,2.8205128205128207,2.6335531135531136
3.996451,3998,3997998,2910,3473,3460,3479,3196,1,0,3.997998,2.345054945054945,2.7987545787545787,2.788278388278388,2.8035897435897437,2.5755311355311354
3.997408,3999,3998998,3100,3420,3437,3449,3047,1,0,3.998998,2.498168498168498,2.756043956043956,2.7697435897435896,2.7794139194139196,2.4554578754578755
4.005722,4000,3999998,3190,3385,3424,3422,2920,1,0,3.999998,2.570695970695971,2.727838827838828,2.759267399267399,2.7576556776556775,2.353113553113553
4.005987,4001,4000998,3242,3358,3417,3410,2809,1,0,4.000998,2.6126007326007326,2.706080586080586,2.7536263736263735,2.747985347985348,2.263663003663004
4.006212,4002,4001998,3174,3402,3436,3438,2946,1,0,4.001998,2.557802197802198,2.7415384615384615,2.768937728937729,2.7705494505494506,2.3740659340659342
4.00645,4003,4002998,3027,3457,3459,3473,3129,1,0,4.002998,2.4393406593406595,2.7858608058608056,2.7874725274725276,2.7987545787545787,2.5215384615384617
4.006664,4004,4003998,2892,3485,3469,3491,3217,1,0,4.003998,2.3305494505494506,2.808424908424908,2.7955311355311356,2.813260073260073,2.5924542124542125
4.00688,4005,4004998,2778,3502,3478,3501,3268,1,0,4.004998,2.238681318681319,2.8221245421245422,2.8027838827838827,2.8213186813186812,2.6335531135531136
4.007094,4006,4005998,2910,3473,3462,3477,3189,1,0,4.005998,2.345054945054945,2.7987545787545787,2.78989010989011,2.801978021978022,2.56989010989011
4.00731,4007,4006998,3101,3421,3438,3444,3048,1,0,4.006998,2.498974358974359,2.756849816849817,2.7705494505494506,2.7753846153846156,2.456263736263736
4.007581,4008,4007998,3191,3385,3425,3422,2921,1,0,4.007998,2.5715018315018314,2.727838827838828,2.76007326007326,2.7576556776556775,2.3539194139194137
4.007841,4009,4008998,3242,3359,3417,3407,2812,1,0,4.008998,2.6126007326007326,2.706886446886447,2.7536263736263735,2.7455677655677655,2.266080586080586
4.008414,4010,4009998,3176,3401,3437,3438,2946,1,0,4.009998,2.5594139194139194,2.740732600732601,2.7697435897435896,2.7705494505494506,2.3740659340659342
4.009411,4011,4010998,3021,3457,3458,3473,3130,1,0,4.010998,2.4345054945054945,2.7858608058608056,2.7866666666666666,2.7987545787545787,2.5223443223443223
4.010409,4012,4011998,2891,3496,3469,3491,3215,1,0,4.011998,2.3297435897435896,2.8172893772893772,2.7955311355311356,2.813260073260073,2.590842490842491
